Mes/Año,PIB,crecimiento IGAE,Curva de rendimientos,Manufacturero IMEF,IPC,Exportaciónes,Inversión extranjera directa,I.C.C,Remesas,Desempleo
04/2024,-0.3535,0.3,0.39,49,56727.98,50646334.00,40000,47.7,5329.53,3.1
05/2024,0.4242,-0.5,0.2693699224,48.7,55179.24,51319473.00,39388,46.7,5219.12,3.3
06/2024,0.0000,0.6,0.5874507866,48,52440.02,55670928.00,38000,48.1,5905.29,3.5
07/2024,0.3535,-0.1,0.3776792079,46.8,53136.84,48870656.00,37727,47,5126.00,3.3
08/2024,-0.2121,0.6,0.05299572649,48.5,52417.48,54788550.00,38938,47,5771.60,3.2
09/2024,0.1414,-0.3,-0.2680163936,49.2,52477.30,51915492.00,38267,46.6,5305.07,3.2
10/2024,-0.5656,0.2,0.1430660523,47.1,50661.05,49625911.00,37950,48.9,5263.55,2.8
11/2024,0.1414,-0.8,0.4959278057,48.6,51845.17,57671148.00,37821,47.4,5719.47,3.1
12/2024,-0.6363,0.3,0.1849894514,47.6,49513.27,52024519.00,37000,47.3,5073.19,3.0
01/2025,0.1414,-0.9,0.1848084933,44.4,51209.53,51686847.00,37000,47.1,5383.16,3.1
02/2025,0.7777,0.2,0.1113055385,47.8,53738.75,44446195.00,36120,46.5,5388.29,3.1
03/2025,-0.2828,1.0,0.0730330843,48.2,52484.43,49279659.00,35000,46.1,5315.96,2.9
04/2025,0.0000,-0.4,-0.05,44.6,56720.12,55527330.00,33850,45.5,,3.1
