RENTA_FIJA,CETES_28,VISTA,CEDEVIS,CARSO,FRESNILLO,MXN/USD
0,-0.056753689,-0.027954545,0.000353482,-0.016666667,0.019588147,0.00123765
-0.01,-0.031868132,-0.013452915,0.000707464,0.008403361,-0.006487026,0.001472536
-0.03,-0.037037037,-0.012618995,0.000353857,-0.084615385,-0.009881423,-0.009070009
-0.05,-0.04158215,-0.010731494,0,0.023622047,0.014028056,-0.000403998
-0.03,0.001015228,-0.032217041,0.000708215,0.016,0.015776081,-0.003773841
0.02,-0.019900498,-0.017697273,0.001063453,0.024590164,-0.021414343,-0.001997913
-0.03,-0.018554688,-0.017791411,0.003557453,0.042735043,0.01928934,-0.001208761
0.07,-0.019157088,0.027310924,0.000355872,0.054054054,-0.051973051,-0.003664905
-0.04,-0.029739777,0.016442451,-0.000355745,0,0.017629775,0.001559754
-0.02,-0.014652015,0.032407407,0.002139037,0.009090909,-0.055137056,-0.007840791
-0.02,-0.004557885,-0.05124451,0.000356633,0,0.021738103,0.00299048
0,-0.001819836,0.06885759,0,0.018518519,0.037249537,-0.00371134
-0.02,0.001823154,0.107726597,0.000713776,-0.018181818,0.029264501,0.008641038
0.07,-0.004537205,-0.01174743,0.002504472,-0.017857143,0.073679875,0.000780486
0,-0.002714932,0.071035387,0.000716076,0.12,0.045294904,-0.002905348
0.01,-0.02125775,0.081349206,-0.000715564,-0.00990099,0.024359674,-0.00247895
0.01,0.007136485,-0.08101068,-0.002142092,-0.038095238,0.034194292,0.000150105
-0.03,0.029384757,0.097484277,0,-0.078947368,0.013379065,0.002854948
-0.07,-0.017148014,-0.055360518,0.003223496,0.04587156,-0.10646206,-0.00554916
0.01,0,-0.043893623,0.000716846,0.038095238,-0.014987047,-0.007297063
0.05,-0.007168459,-0.106162012,0.00143575,-0.009433962,-0.019409424,0.001884177
0.04,-0.005347594,-0.084899683,0.000359066,0.00952381,0.018158694,0.005939162
0.01,0.005376344,-0.00816925,0.001798561,-0.018691589,-0.012131386,-0.003822547
-0.01,-0.014134276,0.025343643,0.000359842,0.019047619,0,-0.009120013
0,0.002657219,-0.019789474,0.000359971,-0.009433962,0.004230549,0.006413151
0,0.005342832,-0.020012379,-0.000359842,0,0.003191014,-0.003731305
-0.06,0.028388278,0.007692308,0,0.019230769,0.014021615,-0.00121503
0.08,0.029217719,-0.004758949,-0.000359712,-0.00952381,0.010892439,-0.004598928
-0.03,0.065261044,0.030270731,0.003247925,0,-0.019761874,0.002138874
-0.01,0.057324841,-0.002127207,-0.001441441,0.019417476,-0.008477809,-0.001042885
-0.05,0.054871221,0.012055974,0,-0.028301887,-0.010475761,0.002422295
0.01,0.026436782,-0.001504729,0.001443522,-0.009345794,0.017053453,0.001158944
0.06,0.054545455,0.017275312,0.001445609,0.028846154,0.023456858,0.000740843
0.05,0.06314433,-0.069582909,0.000361533,0.019607843,0.018906745,0.001253338
-0.05,0.061559508,-0.001625025,0.000723589,0.00990099,0.005591903,-0.00177199
0.03,0.05788712,0.039704329,0.000361925,-0.009803922,0.047418792,-0.002307951
-0.01,0.053353659,0.002328535,0.001086957,-0.019230769,0.018480517,0.003015003
0.07,0.039619651,0.106323185,0.000725163,0.009708738,-0.011778299,-0.005235921
0.05,0.074957411,0.002818225,0.001452433,0.009803922,0.011918681,-0.015114876
0.04,0.061482821,-0.068678915,0,-0.037735849,0.01207467,-0.002377468
0.01,0.04536862,0.01038674,0.000726744,0.00952381,0.062177761,-0.004039299
,,-0.014375953,0.001820167,-0.036697248,0.034482759,-0.011496683
,,-0.004769131,0.000364166,0.018691589,0.015494267,-0.007598087
,,-0.065248227,0.001093693,-0.009259259,-0.011980671,-0.01316138
,,-0.028160693,0.000729661,0,-0.007268306,0.003799543
,,0.042924625,0,-0.027027027,0.024366802,-0.000386572
,,-0.054195804,0.002560351,-0.008928571,-0.025075557,0.00944832
,,-0.00038835,0.000365898,-0.01754386,-0.02382118,0.026548761
,,-0.010186431,0.001098901,0.008849558,-0.013346892,-0.023757381
,,-0.040213983,0,-0.00877193,0.021423007,0.004818579
,,-0.021303484,0.000366435,0.036363636,-0.017225979,-0.003880027
,,0.045291564,0.000733407,-0.026548673,-0.000637592,0.001848012
,,0.036175205,0.000733945,0.018018018,-0.017527155,0.004040712
,,-0.005445352,-0.000733407,0,0.00062681,0.011041834
,,-0.005223447,-0.000366569,0,0.008215473,0.001001185
,,0.019325577,0.000733676,0.009090909,0.001265518,-0.001794922
,,-0.0011818,0,0.028037383,-0.014344697,-0.005144364
,,-0.053857622,0.00183756,0,0.048371911,0.004062678
,,0.0193769,0.001103753,0.009433962,0.015929109,0.003949081
,,-0.016809862,0.001842978,-0.009345794,-0.002650025,0.003542746
,,0.022145857,0.000368732,-0.027272727,0.058172794,0.005797889
,,-0.016522719,0.00110742,0.028037383,0.00562582,-0.010729507
,,0.008712121,0,-0.036036036,0.019404079,-0.00485562
,,-0.021316033,0,0.009090909,-0.023152958,-0.007670069
,,-0.028278098,0.000369276,0.009174312,0.055547322,0.002296449
,,0.010189229,0.000739098,0.018691589,0.027392463,0.000453582
,,0.043478261,0.000739645,-0.027272727,-0.021586914,0.000261371
